repo,repo_dir,workflow_files,yaml_like_files,yaml_like_ratio,total_jobs,avg_jobs_per_workflow,unique_events_count,events_json,unique_runner_count,runner_labels_json,has_matrix,has_workflow_dispatch,has_schedule,has_workflow_call,uses_reusable_workflow,unique_actions_count,sample_actions_json,if_per_workflow,needs_per_workflow,uses_per_workflow,external_action_ratio,local_action_ratio,unique_external_actions_count,complexity_score_mccabe_like,glue_code_score,maintainability_risk_score
samholt/l2mac,samholt__l2mac,1,1,1.0,2,2.0,2,"[""push"", ""workflow_dispatch""]",1,"[""ubuntu-latest""]",False,True,False,False,False,5,"[""actions/checkout@v4"", ""actions/configure-pages@v4"", ""actions/deploy-pages@v4"", ""actions/setup-node@v4"", ""actions/upload-pages-artifact@v3""]",0.0,1.0,5.0,1.0,0.0,5,14.67,24.89,15.31
blob42/Instrukt,blob42__Instrukt,5,5,1.0,10,2.0,2,"[""push"", ""workflow_dispatch""]",1,"[""ubuntu-latest""]",False,True,False,False,False,4,"[""actions/configure-pages@v3"", ""actions/deploy-pages@v2"", ""actions/upload-pages-artifact@v2"", ""snok/install-poetry@v1""]",0.0,1.0,4.0,1.0,0.0,4,14.67,23.91,15.05
ur-whitelab/chemcrow-public,ur-whitelab__chemcrow-public,10,10,1.0,10,1.0,4,"[""pull_request"", ""push"", ""release"", ""workflow_dispatch""]",1,"[""ubuntu-latest""]",True,True,False,False,False,4,"[""actions/setup-python@v2"", ""pypa/gh-action-pypi-publish@main"", ""pypa/gh-action-pypi-publish@master"", ""pypa/gh-action-pypi-publish@release/v1""]",0.0,0.0,1.5,1.0,0.0,4,15.08,22.19,14.74
OpenBMB/ChatDev,OpenBMB__ChatDev,2,2,1.0,2,1.0,3,"[""pull_request"", ""push"", ""workflow_dispatch""]",1,"[""ubuntu-latest""]",False,True,False,False,True,4,"[""actions/cache@v4"", ""actions/checkout@v4"", ""actions/setup-python@v5"", ""astral-sh/setup-uv@v4""]",1.0,0.0,4.0,1.0,0.0,4,5.61,33.91,14.41
101dotxyz/GPTeam,101dotxyz__GPTeam,4,4,1.0,4,1.0,2,"[""pull_request"", ""push""]",1,"[""${{ matrix.os }}""]",True,False,False,False,False,3,"[""actions/checkout@v2"", ""actions/checkout@v3"", ""actions/setup-python@v2""]",1.0,0.0,2.0,1.0,0.0,3,14.36,22.24,14.31
OpenBMB/AgentVerse,OpenBMB__AgentVerse,5,5,1.0,5,1.0,2,"[""pull_request"", ""push""]",1,"[""${{ matrix.os }}""]",True,False,False,False,False,2,"[""actions/setup-python@v4"", ""styfle/cancel-workflow-action@0.11.0""]",1.0,0.0,2.0,1.0,0.0,2,14.36,21.96,14.23
farizrahman4u/loopgpt,farizrahman4u__loopgpt,1,1,1.0,1,1.0,4,"[""pull_request"", ""push"", ""schedule"", ""workflow_dispatch""]",1,"[""${{ matrix.os }}""]",True,True,True,False,False,1,"[""actions/setup-python@v4""]",0.0,0.0,1.0,1.0,0.0,1,15.08,20.98,14.13
rumpfmax/Multi-GPT,rumpfmax__Multi-GPT,14,14,1.0,14,1.0,2,"[""pull_request"", ""push""]",1,"[""ubuntu-latest""]",True,False,False,False,False,3,"[""actions/checkout@v2"", ""actions/setup-python@v2"", ""peter-evans/autopep8@v1""]",0.4286,0.0,1.4286,1.0,0.0,3,13.34,21.85,13.92
KillianLucas/open-interpreter,KillianLucas__open-interpreter,13,13,1.0,13,1.0,3,"[""issues"", ""pull_request"", ""push""]",1,"[""ubuntu-latest""]",True,False,False,False,False,1,"[""actions/setup-python@v3""]",0.0,0.0,0.9231,1.0,0.0,1,13.83,20.92,13.8
nicepkg/gpt-runner,nicepkg__gpt-runner,6,6,1.0,6,1.0,2,"[""pull_request"", ""push""]",1,"[""ubuntu-latest""]",True,False,False,False,False,3,"[""actions/setup-java@v3"", ""actions/setup-node@v3"", ""pnpm/action-setup@v2""]",0.0,0.0,2.1667,1.0,0.0,3,12.58,22.36,13.59
eumemic/ai-legion,eumemic__ai-legion,3,3,1.0,3,1.0,2,"[""pull_request"", ""push""]",1,"[""ubuntu-latest""]",True,False,False,False,False,1,"[""actions/setup-node@v3""]",0.0,0.0,1.0,1.0,0.0,1,12.58,20.98,13.04
RubricLab/maige,RubricLab__maige,13,13,1.0,13,1.0,2,"[""pull_request"", ""push""]",1,"[""ubuntu-latest""]",False,False,False,False,True,2,"[""actions/checkout@v2"", ""actions/setup-node@v2""]",0.0,0.0,1.8462,1.0,0.0,2,2.58,31.85,12.56
reworkd/AgentGPT,reworkd__AgentGPT,21,21,1.0,36,1.7143,4,"[""pull_request"", ""push"", ""schedule"", ""workflow_dispatch""]",1,"[""ubuntu-latest""]",False,True,True,False,False,6,"[""JamesIves/github-pages-deploy-action@v4.4.1"", ""JamesIves/github-sponsors-readme-action@v1"", ""JamesIves/github-sponsors-readme-action@v1.2.2"", ""actions/checkout@v2"", ""actions/setup-node@v3"", ""peter-evans/create-pull-request@v5.0.1""]",0.0476,0.0,1.1905,1.0,0.0,6,9.44,22.55,12.56
topoteretes/PromethAI-Backend,topoteretes__PromethAI-Backend,13,13,1.0,21,1.6154,1,"[""push""]",1,"[""ubuntu-latest""]",False,False,False,False,False,6,"[""./.github/actions/image_builder"", ""actions/checkout@v3"", ""actions/create-release@v1"", ""actions/github-script@v6"", ""anothrNick/github-tag-action@1.34.0"", ""aws-actions/configure-aws-credentials@v1""]",0.0,0.6923,3.6154,0.766,0.234,5,9.24,21.74,12.02
muellerberndt/mini-agi,muellerberndt__mini-agi,2,2,1.0,2,1.0,0,[],1,"[""ubuntu-latest""]",True,False,False,False,False,1,"[""actions/setup-python@v3""]",0.0,0.0,1.0,1.0,0.0,1,10.08,20.98,11.9
polywrap/evo.ninja,polywrap__evo.ninja,33,33,1.0,33,1.0,3,"[""issue_comment"", ""pull_request"", ""push""]",1,"[""ubuntu-latest""]",False,False,False,False,False,9,"[""JamesIves/github-pages-deploy-action@v4"", ""actions/checkout@v2"", ""actions/checkout@v3"", ""actions/github-script@0.8.0"", ""actions/github-script@v6"", ""actions/setup-node@master"", ""actions/setup-node@v1"", ""actions/setup-python@v4"", ""actions/upload-artifact@v2""]",0.7576,0.0,3.7879,1.0,0.0,9,5.18,25.21,11.82
xeol-io/bumpgen,xeol-io__bumpgen,17,17,1.0,33,1.9412,4,"[""merge_group"", ""pull_request"", ""pull_request_target"", ""push""]",1,"[""ubuntu-latest""]",False,False,False,False,False,4,"[""./"", ""./tooling/github/setup"", ""actions/checkout@v4"", ""actions/setup-node@v3""]",0.8235,0.2941,1.5294,0.2692,0.7308,2,13.97,14.62,11.74
team-openpm/workgpt,team-openpm__workgpt,3,3,1.0,8,2.6667,2,"[""pull_request"", ""push""]",2,"[""${{ matrix.os }}"", ""ubuntu-latest""]",True,False,False,False,False,0,[],0.3333,0.3333,0.0,0.0,0.0,0,25.95,0.0,11.72
markeljan/web3gpt,markeljan__web3gpt,3,3,1.0,3,1.0,5,"[""issue_comment"", ""issues"", ""pull_request"", ""pull_request_review"", ""pull_request_review_comment""]",1,"[""ubuntu-latest""]",False,False,False,False,False,2,"[""actions/checkout@v4"", ""anthropics/claude-code-action@beta""]",0.3333,0.0,1.3333,1.0,0.0,2,6.92,21.5,10.68
memfreeme/memfree,memfreeme__memfree,19,19,1.0,19,1.0,3,"[""issues"", ""pull_request_target"", ""push""]",1,"[""ubuntu-latest""]",False,False,False,False,False,7,"[""actions/checkout@v2"", ""actions/first-interaction@v1"", ""actions/github-script@v5"", ""actions/github-script@v6"", ""actions/setup-node@v1"", ""actions/setup-node@v2"", ""dephraiim/translate-readme@main""]",0.1053,0.0,1.4211,1.0,0.0,7,4.02,23.0,10.23
krohling/bondai,krohling__bondai,14,14,1.0,14,1.0,2,"[""push"", ""workflow_dispatch""]",1,"[""ubuntu-latest""]",False,True,False,False,False,8,"[""actions/checkout@v2"", ""actions/setup-node@v2"", ""actions/setup-python@v2"", ""chetan/invalidate-cloudfront-action@v1.3"", ""docker/build-push-action@v2"", ""docker/login-action@v1"", ""docker/setup-buildx-action@v1"", ""jakejarvis/s3-sync-action@master""]",0.0,0.0,4.0714,1.0,0.0,8,2.58,25.11,10.22
TaxyAI/browser-extension,TaxyAI__browser-extension,1,1,1.0,1,1.0,1,"[""push""]",1,"[""ubuntu-latest""]",False,False,False,False,False,5,"[""actions/checkout@v3"", ""actions/setup-node@v2"", ""cardinalby/webext-buildtools-chrome-crx-action@v2"", ""cardinalby/webext-buildtools-pack-extension-dir-action@v1"", ""softprops/action-gh-release@v1""]",1.0,0.0,5.0,1.0,0.0,5,3.11,24.89,10.11
stackwiseai/stackwise,stackwiseai__stackwise,4,4,1.0,4,1.0,3,"[""pull_request"", ""pull_request_target"", ""push""]",2,"[""ubuntu-latest"", ""ubuntu-latest # can also change to: windows-latest || macos-latest""]",False,False,False,False,False,3,"[""actions/checkout@v2"", ""actions/setup-node@v2"", ""tj-actions/changed-files@v40""]",0.25,0.0,1.75,1.0,0.0,3,5.04,22.07,10.06
e2b-dev/e2b-cookbook,e2b-dev__e2b-cookbook,3,3,1.0,3,1.0,2,"[""schedule"", ""workflow_dispatch""]",1,"[""ubuntu-latest""]",False,True,True,False,False,5,"[""actions/checkout@v2"", ""actions/setup-node@v2"", ""actions/upload-artifact@v3"", ""actions/upload-artifact@v4"", ""rtCamp/action-slack-notify@v2""]",0.0,0.0,5.0,1.0,0.0,5,2.58,24.89,9.91
saten-private/BabyCommandAGI,saten-private__BabyCommandAGI,3,3,1.0,3,1.0,2,"[""schedule"", ""workflow_dispatch""]",1,"[""ubuntu-latest""]",False,True,True,False,False,5,"[""JamesIves/github-pages-deploy-action@v4"", ""JamesIves/github-pages-deploy-action@v4.6.0"", ""JamesIves/github-pages-deploy-action@v4.6.1"", ""JamesIves/github-sponsors-readme-action@v1"", ""actions/checkout@v2""]",0.0,0.0,4.0,1.0,0.0,5,2.58,24.2,9.67
genia-dev/GeniA,genia-dev__GeniA,16,16,1.0,16,1.0,2,"[""pull_request"", ""push""]",1,"[""ubuntu-latest""]",False,False,False,False,False,4,"[""actions/checkout@v2"", ""actions/setup-python@v2"", ""mhausenblas/mkdocs-deploy-gh-pages@1.26"", ""mhausenblas/mkdocs-deploy-gh-pages@master""]",0.0,0.0,1.0,1.0,0.0,4,2.58,21.84,9.12
TheoLvs/westworld,TheoLvs__westworld,3,3,1.0,3,1.0,3,"[""pull_request"", ""push"", ""workflow_dispatch""]",1,"[""ubuntu-latest""]",False,True,False,False,False,1,"[""abatilo/actions-poetry@v2.1.0""]",0.0,0.0,1.0,1.0,0.0,1,3.83,20.98,9.11
vanna-ai/vanna,vanna-ai__vanna,20,20,1.0,20,1.0,2,"[""push"", ""release""]",1,"[""ubuntu-latest""]",False,False,False,False,False,3,"[""actions/setup-python@v3"", ""actions/setup-python@v5"", ""pypa/gh-action-pypi-publish@27b31702a0e7fc50959f5ad993c78deac1bdfc29""]",0.0,0.0,0.8,1.0,0.0,3,2.58,21.42,9.05
agiresearch/OpenAGI,agiresearch__OpenAGI,9,9,1.0,9,1.0,2,"[""pull_request"", ""push""]",1,"[""ubuntu-latest""]",False,False,False,False,False,3,"[""actions/setup-python@v2"", ""actions/setup-python@v4"", ""pypa/gh-action-pypi-publish@release/v1""]",0.0,0.0,1.4444,1.0,0.0,3,2.58,21.86,8.98
codeintegrity-ai/mutahunter,codeintegrity-ai__mutahunter,1,1,1.0,1,1.0,2,"[""pull_request"", ""push""]",1,"[""ubuntu-latest""]",False,False,False,False,False,2,"[""actions/checkout@v4"", ""actions/setup-python@v5""]",0.0,0.0,2.0,1.0,0.0,2,2.58,21.96,8.85
proficientai/js,proficientai__js,1,1,1.0,1,1.0,2,"[""pull_request"", ""push""]",1,"[""ubuntu-latest""]",False,False,False,False,False,2,"[""actions/checkout@v3"", ""actions/setup-node@v3""]",0.0,0.0,2.0,1.0,0.0,2,2.58,21.96,8.85
metauto-ai/GPTSwarm,metauto-ai__GPTSwarm,4,4,1.0,4,1.0,2,"[""pull_request"", ""push""]",1,"[""ubuntu-latest""]",False,False,False,False,False,2,"[""actions/setup-python@v3"", ""coverallsapp/github-action@v2""]",0.0,0.0,1.5,1.0,0.0,2,2.58,21.61,8.79
OthersideAI/self-operating-computer,OthersideAI__self-operating-computer,1,1,1.0,1,1.0,1,"[""push""]",1,"[""ubuntu-latest""]",False,False,False,False,False,2,"[""actions/setup-python@v3"", ""pypa/gh-action-pypi-publish@v1.4.2""]",0.0,0.0,2.0,1.0,0.0,2,1.33,21.96,8.28
microsoft/UFO,microsoft__UFO,1,1,1.0,1,1.0,1,"[""push""]",1,"[""ubuntu-latest""]",False,False,False,False,False,2,"[""actions/checkout@v2"", ""actions/setup-python@v2""]",0.0,0.0,2.0,1.0,0.0,2,1.33,21.96,8.28
Technion-Kishony-lab/data-to-paper,Technion-Kishony-lab__data-to-paper,1,1,1.0,1,1.0,1,"[""push""]",1,"[""ubuntu-latest""]",False,False,False,False,False,1,"[""actions/setup-python@v5""]",0.0,0.0,1.0,1.0,0.0,1,1.33,20.98,7.94
PromtEngineer/localGPT,PromtEngineer__localGPT,1,1,1.0,1,1.0,0,[],1,"[""ubuntu-latest""]",False,False,False,False,False,2,"[""actions/cache@v3"", ""actions/checkout@v3""]",0.0,0.0,2.0,1.0,0.0,2,0.08,21.96,7.72
dot-agent/dotagent,dot-agent__dotagent,3,3,1.0,3,1.0,2,"[""pull_request"", ""push""]",2,"[""${{ matrix.os }}"", ""ubuntu-latest""]",True,False,False,False,False,0,[],0.6667,0.0,0.0,0.0,0.0,0,14.53,0.0,6.58
kuafuai/DevOpsGPT,kuafuai__DevOpsGPT,1,1,1.0,1,1.0,3,"[""pull_request"", ""push"", ""workflow_dispatch""]",1,"[""ubuntu-latest""]",False,True,False,False,False,0,[],0.0,0.0,0.0,0.0,0.0,0,3.83,0.0,1.72
MineDojo/Voyager,MineDojo__Voyager,2,2,1.0,2,1.0,1,"[""schedule""]",1,"[""ubuntu-latest""]",False,False,True,False,False,0,[],0.0,0.0,0.0,0.0,0.0,0,1.33,0.0,0.62
xlang-ai/OpenAgents,xlang-ai__OpenAgents,1,1,1.0,1,1.0,1,"[""schedule""]",1,"[""ubuntu-latest""]",False,False,True,False,False,0,[],0.0,0.0,0.0,0.0,0.0,0,1.33,0.0,0.6
