repo,repo_dir,workflow_files,yaml_like_files,yaml_like_ratio,total_jobs,avg_jobs_per_workflow,unique_events_count,events_json,unique_runner_count,runner_labels_json,has_matrix,has_workflow_dispatch,has_schedule,has_workflow_call,uses_reusable_workflow,unique_actions_count,sample_actions_json,repo_description
kreneskyp/ix,kreneskyp__ix,28,28,1.0,71,2.5357,4,"[""pull_request"", ""push"", ""release"", ""workflow_dispatch""]",1,"[""ubuntu-latest""]",False,True,False,False,False,11,"[""./.github/actions/run-docker"", ""actions/cache@v2"", ""actions/cache@v3"", ""actions/checkout@v2"", ""actions/checkout@v3"", ""actions/checkout@v4"", ""actions/upload-artifact@v2"", ""docker/build-push-action@v4"", ""docker/login-action@v2"", ""docker/setup-buildx-action@v2""]","kreneskyp/ix ha 28 workflow (28 YAML-like), con 71 job totali e media 2.5357 job/workflow. Trigger principali: pull_request, push, release, workflow_dispatch. Runner principali: ubuntu-latest. Matrix: no, workflow riusabili ricevuti (workflow_call): no, riuso di workflow esterni/interni: no."
biobootloader/mentat,biobootloader__mentat,27,27,1.0,58,2.1481,4,"[""pull_request"", ""push"", ""schedule"", ""workflow_dispatch""]",2,"[""${{ matrix.os }}"", ""ubuntu-latest""]",True,True,True,False,False,6,"[""actions/checkout@v3"", ""actions/setup-node@v4"", ""actions/setup-python@v3"", ""actions/setup-python@v4"", ""dawidd6/action-homebrew-bump-formula@v3"", ""softprops/action-gh-release@v1""]","biobootloader/mentat ha 27 workflow (27 YAML-like), con 58 job totali e media 2.1481 job/workflow. Trigger principali: pull_request, push, schedule, workflow_dispatch. Runner principali: ${{ matrix.os }}, ubuntu-latest. Matrix: si, workflow riusabili ricevuti (workflow_call): no, riuso di workflow esterni/interni: no."
trypromptly/LLMStack,trypromptly__LLMStack,27,27,1.0,27,1.0,2,"[""pull_request"", ""push""]",3,"[""${{ (matrix.language == 'swift' && 'macos-latest') || 'ubuntu-latest' }}"", ""large-runner"", ""ubuntu-latest""]",True,False,False,False,False,15,"[""actions/checkout@v3"", ""actions/setup-node@v3"", ""actions/setup-python@v4"", ""docker/build-push-action@v4"", ""docker/login-action@v2.2.0"", ""docker/metadata-action@v4"", ""docker/setup-buildx-action@v2"", ""docker/setup-qemu-action@v2"", ""github/codeql-action/analyze@v2"", ""github/codeql-action/autobuild@v2""]","trypromptly/LLMStack ha 27 workflow (27 YAML-like), con 27 job totali e media 1.0 job/workflow. Trigger principali: pull_request, push. Runner principali: ${{ (matrix.language == 'swift' && 'macos-latest') || 'ubuntu-latest' }}, large-runner, ubuntu-latest. Matrix: si, workflow riusabili ricevuti (workflow_call): no, riuso di workflow esterni/interni: no."
geekan/MetaGPT,geekan__MetaGPT,26,26,1.0,26,1.0,6,"[""pull_request"", ""pull_request_target"", ""push"", ""release"", ""schedule"", ""workflow_dispatch""]",2,"[""ubuntu-22.04"", ""ubuntu-latest""]",True,True,True,False,False,6,"[""actions/checkout@v2"", ""actions/setup-python@v2"", ""actions/setup-python@v4"", ""actions/upload-artifact@v3"", ""actions/upload-artifact@v4"", ""codecov/codecov-action@v3""]","geekan/MetaGPT ha 26 workflow (26 YAML-like), con 26 job totali e media 1.0 job/workflow. Trigger principali: pull_request, pull_request_target, push, release. Runner principali: ubuntu-22.04, ubuntu-latest. Matrix: si, workflow riusabili ricevuti (workflow_call): no, riuso di workflow esterni/interni: no."
Pythagora-io/gpt-pilot,Pythagora-io__gpt-pilot,22,22,1.0,33,1.5,3,"[""pull_request"", ""push"", ""workflow_dispatch""]",2,"[""${{ matrix.os }}"", ""ubuntu-latest""]",True,True,False,False,False,8,"[""actions/checkout@v4"", ""actions/setup-node@v3"", ""actions/setup-node@v4"", ""actions/setup-python@v2"", ""actions/setup-python@v4"", ""actions/setup-python@v5"", ""aws-actions/configure-aws-credentials@v3"", ""docker/login-action@v3""]","Pythagora-io/gpt-pilot ha 22 workflow (22 YAML-like), con 33 job totali e media 1.5 job/workflow. Trigger principali: pull_request, push, workflow_dispatch. Runner principali: ${{ matrix.os }}, ubuntu-latest. Matrix: si, workflow riusabili ricevuti (workflow_call): no, riuso di workflow esterni/interni: no."
imartinez/privateGPT,imartinez__privateGPT,21,21,1.0,30,1.4286,6,"[""pull_request"", ""pull_request_target"", ""push"", ""release"", ""schedule"", ""workflow_dispatch""]",1,"[""ubuntu-latest""]",True,True,True,False,True,13,"[""actions/checkout@v4"", ""actions/github-script@v4"", ""actions/github-script@v7"", ""actions/setup-node@v3"", ""actions/setup-node@v4"", ""actions/upload-artifact@v3"", ""docker/build-push-action@v5"", ""docker/build-push-action@v6"", ""docker/login-action@v3"", ""docker/metadata-action@v5""]","imartinez/privateGPT ha 21 workflow (21 YAML-like), con 30 job totali e media 1.4286 job/workflow. Trigger principali: pull_request, pull_request_target, push, release. Runner principali: ubuntu-latest. Matrix: si, workflow riusabili ricevuti (workflow_call): no, riuso di workflow esterni/interni: si."
reworkd/AgentGPT,reworkd__AgentGPT,21,21,1.0,36,1.7143,4,"[""pull_request"", ""push"", ""schedule"", ""workflow_dispatch""]",1,"[""ubuntu-latest""]",False,True,True,False,False,6,"[""JamesIves/github-pages-deploy-action@v4.4.1"", ""JamesIves/github-sponsors-readme-action@v1"", ""JamesIves/github-sponsors-readme-action@v1.2.2"", ""actions/checkout@v2"", ""actions/setup-node@v3"", ""peter-evans/create-pull-request@v5.0.1""]","reworkd/AgentGPT ha 21 workflow (21 YAML-like), con 36 job totali e media 1.7143 job/workflow. Trigger principali: pull_request, push, schedule, workflow_dispatch. Runner principali: ubuntu-latest. Matrix: no, workflow riusabili ricevuti (workflow_call): no, riuso di workflow esterni/interni: no."
vanna-ai/vanna,vanna-ai__vanna,20,20,1.0,20,1.0,2,"[""push"", ""release""]",1,"[""ubuntu-latest""]",False,False,False,False,False,3,"[""actions/setup-python@v3"", ""actions/setup-python@v5"", ""pypa/gh-action-pypi-publish@27b31702a0e7fc50959f5ad993c78deac1bdfc29""]","vanna-ai/vanna ha 20 workflow (20 YAML-like), con 20 job totali e media 1.0 job/workflow. Trigger principali: push, release. Runner principali: ubuntu-latest. Matrix: no, workflow riusabili ricevuti (workflow_call): no, riuso di workflow esterni/interni: no."
memfreeme/memfree,memfreeme__memfree,19,19,1.0,19,1.0,3,"[""issues"", ""pull_request_target"", ""push""]",1,"[""ubuntu-latest""]",False,False,False,False,False,7,"[""actions/checkout@v2"", ""actions/first-interaction@v1"", ""actions/github-script@v5"", ""actions/github-script@v6"", ""actions/setup-node@v1"", ""actions/setup-node@v2"", ""dephraiim/translate-readme@main""]","memfreeme/memfree ha 19 workflow (19 YAML-like), con 19 job totali e media 1.0 job/workflow. Trigger principali: issues, pull_request_target, push. Runner principali: ubuntu-latest. Matrix: no, workflow riusabili ricevuti (workflow_call): no, riuso di workflow esterni/interni: no."
jina-ai/dev-gpt,jina-ai__dev-gpt,18,18,1.0,29,1.6111,3,"[""pull_request"", ""push"", ""workflow_dispatch""]",1,"[""ubuntu-latest""]",True,True,False,False,False,7,"[""actions/checkout@v2"", ""actions/setup-python@v2"", ""ad-m/github-push-action@v0.6.0"", ""docker/build-push-action@v2"", ""docker/login-action@v1"", ""docker/setup-buildx-action@v1"", ""dorny/paths-filter@v2""]","jina-ai/dev-gpt ha 18 workflow (18 YAML-like), con 29 job totali e media 1.6111 job/workflow. Trigger principali: pull_request, push, workflow_dispatch. Runner principali: ubuntu-latest. Matrix: si, workflow riusabili ricevuti (workflow_call): no, riuso di workflow esterni/interni: no."
xeol-io/bumpgen,xeol-io__bumpgen,17,17,1.0,33,1.9412,4,"[""merge_group"", ""pull_request"", ""pull_request_target"", ""push""]",1,"[""ubuntu-latest""]",False,False,False,False,False,4,"[""./"", ""./tooling/github/setup"", ""actions/checkout@v4"", ""actions/setup-node@v3""]","xeol-io/bumpgen ha 17 workflow (17 YAML-like), con 33 job totali e media 1.9412 job/workflow. Trigger principali: merge_group, pull_request, pull_request_target, push. Runner principali: ubuntu-latest. Matrix: no, workflow riusabili ricevuti (workflow_call): no, riuso di workflow esterni/interni: no."
genia-dev/GeniA,genia-dev__GeniA,16,16,1.0,16,1.0,2,"[""pull_request"", ""push""]",1,"[""ubuntu-latest""]",False,False,False,False,False,4,"[""actions/checkout@v2"", ""actions/setup-python@v2"", ""mhausenblas/mkdocs-deploy-gh-pages@1.26"", ""mhausenblas/mkdocs-deploy-gh-pages@master""]","genia-dev/GeniA ha 16 workflow (16 YAML-like), con 16 job totali e media 1.0 job/workflow. Trigger principali: pull_request, push. Runner principali: ubuntu-latest. Matrix: no, workflow riusabili ricevuti (workflow_call): no, riuso di workflow esterni/interni: no."
Oneirocom/Magick,Oneirocom__Magick,15,15,1.0,15,1.0,4,"[""branch_protection_rule"", ""pull_request"", ""push"", ""schedule""]",3,"[""${{ (matrix.language == 'swift' && 'macos-latest') || 'ubuntu-latest' }}"", ""${{ matrix.os }}"", ""ubuntu-latest""]",True,False,True,False,False,23,"[""actions/checkout@8e5e7e5ab8b370d6c329ec480221332ada57f0ab"", ""actions/checkout@93ea575cb5d8a053eaa0ac8fa3b40d7e05a33cc8"", ""actions/checkout@ee0669bd1cc54295c223e0bb666b733df41de1c5"", ""actions/checkout@v2"", ""actions/checkout@v3"", ""actions/create-release@fca5fb59dbfa2749e2850463e8c5af9e3ee0e270"", ""actions/create-release@v1.0.1"", ""actions/setup-node@25316bbc1f10ac9d8798711f44914b1cf3c4e954"", ""actions/setup-node@64ed1c7eab4cce3362f8c340dee64e5eaeef8f7c"", ""actions/setup-node@v2.4.0""]","Oneirocom/Magick ha 15 workflow (15 YAML-like), con 15 job totali e media 1.0 job/workflow. Trigger principali: branch_protection_rule, pull_request, push, schedule. Runner principali: ${{ (matrix.language == 'swift' && 'macos-latest') || 'ubuntu-latest' }}, ${{ matrix.os }}, ubuntu-latest. Matrix: si, workflow riusabili ricevuti (workflow_call): no, riuso di workflow esterni/interni: no."
krohling/bondai,krohling__bondai,14,14,1.0,14,1.0,2,"[""push"", ""workflow_dispatch""]",1,"[""ubuntu-latest""]",False,True,False,False,False,8,"[""actions/checkout@v2"", ""actions/setup-node@v2"", ""actions/setup-python@v2"", ""chetan/invalidate-cloudfront-action@v1.3"", ""docker/build-push-action@v2"", ""docker/login-action@v1"", ""docker/setup-buildx-action@v1"", ""jakejarvis/s3-sync-action@master""]","krohling/bondai ha 14 workflow (14 YAML-like), con 14 job totali e media 1.0 job/workflow. Trigger principali: push, workflow_dispatch. Runner principali: ubuntu-latest. Matrix: no, workflow riusabili ricevuti (workflow_call): no, riuso di workflow esterni/interni: no."
rumpfmax/Multi-GPT,rumpfmax__Multi-GPT,14,14,1.0,14,1.0,2,"[""pull_request"", ""push""]",1,"[""ubuntu-latest""]",True,False,False,False,False,3,"[""actions/checkout@v2"", ""actions/setup-python@v2"", ""peter-evans/autopep8@v1""]","rumpfmax/Multi-GPT ha 14 workflow (14 YAML-like), con 14 job totali e media 1.0 job/workflow. Trigger principali: pull_request, push. Runner principali: ubuntu-latest. Matrix: si, workflow riusabili ricevuti (workflow_call): no, riuso di workflow esterni/interni: no."
KillianLucas/open-interpreter,KillianLucas__open-interpreter,13,13,1.0,13,1.0,3,"[""issues"", ""pull_request"", ""push""]",1,"[""ubuntu-latest""]",True,False,False,False,False,1,"[""actions/setup-python@v3""]","KillianLucas/open-interpreter ha 13 workflow (13 YAML-like), con 13 job totali e media 1.0 job/workflow. Trigger principali: issues, pull_request, push. Runner principali: ubuntu-latest. Matrix: si, workflow riusabili ricevuti (workflow_call): no, riuso di workflow esterni/interni: no."
RubricLab/maige,RubricLab__maige,13,13,1.0,13,1.0,2,"[""pull_request"", ""push""]",1,"[""ubuntu-latest""]",False,False,False,False,True,2,"[""actions/checkout@v2"", ""actions/setup-node@v2""]","RubricLab/maige ha 13 workflow (13 YAML-like), con 13 job totali e media 1.0 job/workflow. Trigger principali: pull_request, push. Runner principali: ubuntu-latest. Matrix: no, workflow riusabili ricevuti (workflow_call): no, riuso di workflow esterni/interni: si."
topoteretes/PromethAI-Backend,topoteretes__PromethAI-Backend,13,13,1.0,21,1.6154,1,"[""push""]",1,"[""ubuntu-latest""]",False,False,False,False,False,6,"[""./.github/actions/image_builder"", ""actions/checkout@v3"", ""actions/create-release@v1"", ""actions/github-script@v6"", ""anothrNick/github-tag-action@1.34.0"", ""aws-actions/configure-aws-credentials@v1""]","topoteretes/PromethAI-Backend ha 13 workflow (13 YAML-like), con 21 job totali e media 1.6154 job/workflow. Trigger principali: push. Runner principali: ubuntu-latest. Matrix: no, workflow riusabili ricevuti (workflow_call): no, riuso di workflow esterni/interni: no."
Farama-Foundation/chatarena,Farama-Foundation__chatarena,11,11,1.0,15,1.3636,3,"[""pull_request"", ""push"", ""release""]",4,"[""${{ matrix.os }}"", ""macos-11"", ""ubuntu-latest"", ""windows-latest""]",True,False,False,False,False,6,"[""actions/download-artifact@v2"", ""actions/download-artifact@v3"", ""actions/setup-python@v4"", ""actions/upload-artifact@v2"", ""actions/upload-artifact@v3"", ""pypa/gh-action-pypi-publish@release/v1""]","Farama-Foundation/chatarena ha 11 workflow (11 YAML-like), con 15 job totali e media 1.3636 job/workflow. Trigger principali: pull_request, push, release. Runner principali: ${{ matrix.os }}, macos-11, ubuntu-latest. Matrix: si, workflow riusabili ricevuti (workflow_call): no, riuso di workflow esterni/interni: no."
ur-whitelab/chemcrow-public,ur-whitelab__chemcrow-public,10,10,1.0,10,1.0,4,"[""pull_request"", ""push"", ""release"", ""workflow_dispatch""]",1,"[""ubuntu-latest""]",True,True,False,False,False,4,"[""actions/setup-python@v2"", ""pypa/gh-action-pypi-publish@main"", ""pypa/gh-action-pypi-publish@master"", ""pypa/gh-action-pypi-publish@release/v1""]","ur-whitelab/chemcrow-public ha 10 workflow (10 YAML-like), con 10 job totali e media 1.0 job/workflow. Trigger principali: pull_request, push, release, workflow_dispatch. Runner principali: ubuntu-latest. Matrix: si, workflow riusabili ricevuti (workflow_call): no, riuso di workflow esterni/interni: no."
agiresearch/OpenAGI,agiresearch__OpenAGI,9,9,1.0,9,1.0,2,"[""pull_request"", ""push""]",1,"[""ubuntu-latest""]",False,False,False,False,False,3,"[""actions/setup-python@v2"", ""actions/setup-python@v4"", ""pypa/gh-action-pypi-publish@release/v1""]","agiresearch/OpenAGI ha 9 workflow (9 YAML-like), con 9 job totali e media 1.0 job/workflow. Trigger principali: pull_request, push. Runner principali: ubuntu-latest. Matrix: no, workflow riusabili ricevuti (workflow_call): no, riuso di workflow esterni/interni: no."
assafelovic/gpt-researcher,assafelovic__gpt-researcher,8,8,1.0,18,2.25,3,"[""pull_request"", ""push"", ""workflow_dispatch""]",2,"[""${{ matrix.runner_label }}"", ""ubuntu-latest""]",True,True,False,False,True,17,"[""\""actions/checkout@v4\"""", ""\""docker/build-push-action@v6\"""", ""\""docker/login-action@v3\"""", ""\""docker/metadata-action@v5\"""", ""\""docker/setup-buildx-action@v3\"""", ""\""docker/setup-qemu-action@v3\"""", ""actions/checkout@master"", ""actions/checkout@v3"", ""actions/checkout@v4"", ""actions/checkout@v5""]","assafelovic/gpt-researcher ha 8 workflow (8 YAML-like), con 18 job totali e media 2.25 job/workflow. Trigger principali: pull_request, push, workflow_dispatch. Runner principali: ${{ matrix.runner_label }}, ubuntu-latest. Matrix: si, workflow riusabili ricevuti (workflow_call): no, riuso di workflow esterni/interni: si."
myshell-ai/AIlice,myshell-ai__AIlice,6,6,1.0,6,1.0,3,"[""pull_request"", ""push"", ""workflow_dispatch""]",1,"[""${{ matrix.os }}""]",True,True,False,False,False,1,"[""actions/setup-python@v4""]","myshell-ai/AIlice ha 6 workflow (6 YAML-like), con 6 job totali e media 1.0 job/workflow. Trigger principali: pull_request, push, workflow_dispatch. Runner principali: ${{ matrix.os }}. Matrix: si, workflow riusabili ricevuti (workflow_call): no, riuso di workflow esterni/interni: no."
nicepkg/gpt-runner,nicepkg__gpt-runner,6,6,1.0,6,1.0,2,"[""pull_request"", ""push""]",1,"[""ubuntu-latest""]",True,False,False,False,False,3,"[""actions/setup-java@v3"", ""actions/setup-node@v3"", ""pnpm/action-setup@v2""]","nicepkg/gpt-runner ha 6 workflow (6 YAML-like), con 6 job totali e media 1.0 job/workflow. Trigger principali: pull_request, push. Runner principali: ubuntu-latest. Matrix: si, workflow riusabili ricevuti (workflow_call): no, riuso di workflow esterni/interni: no."
OpenBMB/AgentVerse,OpenBMB__AgentVerse,5,5,1.0,5,1.0,2,"[""pull_request"", ""push""]",1,"[""${{ matrix.os }}""]",True,False,False,False,False,2,"[""actions/setup-python@v4"", ""styfle/cancel-workflow-action@0.11.0""]","OpenBMB/AgentVerse ha 5 workflow (5 YAML-like), con 5 job totali e media 1.0 job/workflow. Trigger principali: pull_request, push. Runner principali: ${{ matrix.os }}. Matrix: si, workflow riusabili ricevuti (workflow_call): no, riuso di workflow esterni/interni: no."
blob42/Instrukt,blob42__Instrukt,5,5,1.0,10,2.0,2,"[""push"", ""workflow_dispatch""]",1,"[""ubuntu-latest""]",False,True,False,False,False,4,"[""actions/configure-pages@v3"", ""actions/deploy-pages@v2"", ""actions/upload-pages-artifact@v2"", ""snok/install-poetry@v1""]","blob42/Instrukt ha 5 workflow (5 YAML-like), con 10 job totali e media 2.0 job/workflow. Trigger principali: push, workflow_dispatch. Runner principali: ubuntu-latest. Matrix: no, workflow riusabili ricevuti (workflow_call): no, riuso di workflow esterni/interni: no."
101dotxyz/GPTeam,101dotxyz__GPTeam,4,4,1.0,4,1.0,2,"[""pull_request"", ""push""]",1,"[""${{ matrix.os }}""]",True,False,False,False,False,3,"[""actions/checkout@v2"", ""actions/checkout@v3"", ""actions/setup-python@v2""]","101dotxyz/GPTeam ha 4 workflow (4 YAML-like), con 4 job totali e media 1.0 job/workflow. Trigger principali: pull_request, push. Runner principali: ${{ matrix.os }}. Matrix: si, workflow riusabili ricevuti (workflow_call): no, riuso di workflow esterni/interni: no."
metauto-ai/GPTSwarm,metauto-ai__GPTSwarm,4,4,1.0,4,1.0,2,"[""pull_request"", ""push""]",1,"[""ubuntu-latest""]",False,False,False,False,False,2,"[""actions/setup-python@v3"", ""coverallsapp/github-action@v2""]","metauto-ai/GPTSwarm ha 4 workflow (4 YAML-like), con 4 job totali e media 1.0 job/workflow. Trigger principali: pull_request, push. Runner principali: ubuntu-latest. Matrix: no, workflow riusabili ricevuti (workflow_call): no, riuso di workflow esterni/interni: no."
stackwiseai/stackwise,stackwiseai__stackwise,4,4,1.0,4,1.0,3,"[""pull_request"", ""pull_request_target"", ""push""]",2,"[""ubuntu-latest"", ""ubuntu-latest # can also change to: windows-latest || macos-latest""]",False,False,False,False,False,3,"[""actions/checkout@v2"", ""actions/setup-node@v2"", ""tj-actions/changed-files@v40""]","stackwiseai/stackwise ha 4 workflow (4 YAML-like), con 4 job totali e media 1.0 job/workflow. Trigger principali: pull_request, pull_request_target, push. Runner principali: ubuntu-latest, ubuntu-latest # can also change to: windows-latest || macos-latest. Matrix: no, workflow riusabili ricevuti (workflow_call): no, riuso di workflow esterni/interni: no."
TheoLvs/westworld,TheoLvs__westworld,3,3,1.0,3,1.0,3,"[""pull_request"", ""push"", ""workflow_dispatch""]",1,"[""ubuntu-latest""]",False,True,False,False,False,1,"[""abatilo/actions-poetry@v2.1.0""]","TheoLvs/westworld ha 3 workflow (3 YAML-like), con 3 job totali e media 1.0 job/workflow. Trigger principali: pull_request, push, workflow_dispatch. Runner principali: ubuntu-latest. Matrix: no, workflow riusabili ricevuti (workflow_call): no, riuso di workflow esterni/interni: no."
dot-agent/dotagent,dot-agent__dotagent,3,3,1.0,3,1.0,2,"[""pull_request"", ""push""]",2,"[""${{ matrix.os }}"", ""ubuntu-latest""]",True,False,False,False,False,0,[],"dot-agent/dotagent ha 3 workflow (3 YAML-like), con 3 job totali e media 1.0 job/workflow. Trigger principali: pull_request, push. Runner principali: ${{ matrix.os }}, ubuntu-latest. Matrix: si, workflow riusabili ricevuti (workflow_call): no, riuso di workflow esterni/interni: no."
e2b-dev/e2b-cookbook,e2b-dev__e2b-cookbook,3,3,1.0,3,1.0,2,"[""schedule"", ""workflow_dispatch""]",1,"[""ubuntu-latest""]",False,True,True,False,False,5,"[""actions/checkout@v2"", ""actions/setup-node@v2"", ""actions/upload-artifact@v3"", ""actions/upload-artifact@v4"", ""rtCamp/action-slack-notify@v2""]","e2b-dev/e2b-cookbook ha 3 workflow (3 YAML-like), con 3 job totali e media 1.0 job/workflow. Trigger principali: schedule, workflow_dispatch. Runner principali: ubuntu-latest. Matrix: no, workflow riusabili ricevuti (workflow_call): no, riuso di workflow esterni/interni: no."
eumemic/ai-legion,eumemic__ai-legion,3,3,1.0,3,1.0,2,"[""pull_request"", ""push""]",1,"[""ubuntu-latest""]",True,False,False,False,False,1,"[""actions/setup-node@v3""]","eumemic/ai-legion ha 3 workflow (3 YAML-like), con 3 job totali e media 1.0 job/workflow. Trigger principali: pull_request, push. Runner principali: ubuntu-latest. Matrix: si, workflow riusabili ricevuti (workflow_call): no, riuso di workflow esterni/interni: no."
markeljan/web3gpt,markeljan__web3gpt,3,3,1.0,3,1.0,5,"[""issue_comment"", ""issues"", ""pull_request"", ""pull_request_review"", ""pull_request_review_comment""]",1,"[""ubuntu-latest""]",False,False,False,False,False,2,"[""actions/checkout@v4"", ""anthropics/claude-code-action@beta""]","markeljan/web3gpt ha 3 workflow (3 YAML-like), con 3 job totali e media 1.0 job/workflow. Trigger principali: issue_comment, issues, pull_request, pull_request_review. Runner principali: ubuntu-latest. Matrix: no, workflow riusabili ricevuti (workflow_call): no, riuso di workflow esterni/interni: no."
saten-private/BabyCommandAGI,saten-private__BabyCommandAGI,3,3,1.0,3,1.0,2,"[""schedule"", ""workflow_dispatch""]",1,"[""ubuntu-latest""]",False,True,True,False,False,5,"[""JamesIves/github-pages-deploy-action@v4"", ""JamesIves/github-pages-deploy-action@v4.6.0"", ""JamesIves/github-pages-deploy-action@v4.6.1"", ""JamesIves/github-sponsors-readme-action@v1"", ""actions/checkout@v2""]","saten-private/BabyCommandAGI ha 3 workflow (3 YAML-like), con 3 job totali e media 1.0 job/workflow. Trigger principali: schedule, workflow_dispatch. Runner principali: ubuntu-latest. Matrix: no, workflow riusabili ricevuti (workflow_call): no, riuso di workflow esterni/interni: no."
team-openpm/workgpt,team-openpm__workgpt,3,3,1.0,8,2.6667,2,"[""pull_request"", ""push""]",2,"[""${{ matrix.os }}"", ""ubuntu-latest""]",True,False,False,False,False,0,[],"team-openpm/workgpt ha 3 workflow (3 YAML-like), con 8 job totali e media 2.6667 job/workflow. Trigger principali: pull_request, push. Runner principali: ${{ matrix.os }}, ubuntu-latest. Matrix: si, workflow riusabili ricevuti (workflow_call): no, riuso di workflow esterni/interni: no."
MineDojo/Voyager,MineDojo__Voyager,2,2,1.0,2,1.0,1,"[""schedule""]",1,"[""ubuntu-latest""]",False,False,True,False,False,0,[],"MineDojo/Voyager ha 2 workflow (2 YAML-like), con 2 job totali e media 1.0 job/workflow. Trigger principali: schedule. Runner principali: ubuntu-latest. Matrix: no, workflow riusabili ricevuti (workflow_call): no, riuso di workflow esterni/interni: no."
OpenBMB/ChatDev,OpenBMB__ChatDev,2,2,1.0,2,1.0,3,"[""pull_request"", ""push"", ""workflow_dispatch""]",1,"[""ubuntu-latest""]",False,True,False,False,True,4,"[""actions/cache@v4"", ""actions/checkout@v4"", ""actions/setup-python@v5"", ""astral-sh/setup-uv@v4""]","OpenBMB/ChatDev ha 2 workflow (2 YAML-like), con 2 job totali e media 1.0 job/workflow. Trigger principali: pull_request, push, workflow_dispatch. Runner principali: ubuntu-latest. Matrix: no, workflow riusabili ricevuti (workflow_call): no, riuso di workflow esterni/interni: si."
muellerberndt/mini-agi,muellerberndt__mini-agi,2,2,1.0,2,1.0,0,[],1,"[""ubuntu-latest""]",True,False,False,False,False,1,"[""actions/setup-python@v3""]","muellerberndt/mini-agi ha 2 workflow (2 YAML-like), con 2 job totali e media 1.0 job/workflow. Trigger principali: eventi non identificati. Runner principali: ubuntu-latest. Matrix: si, workflow riusabili ricevuti (workflow_call): no, riuso di workflow esterni/interni: no."
OthersideAI/self-operating-computer,OthersideAI__self-operating-computer,1,1,1.0,1,1.0,1,"[""push""]",1,"[""ubuntu-latest""]",False,False,False,False,False,2,"[""actions/setup-python@v3"", ""pypa/gh-action-pypi-publish@v1.4.2""]","OthersideAI/self-operating-computer ha 1 workflow (1 YAML-like), con 1 job totali e media 1.0 job/workflow. Trigger principali: push. Runner principali: ubuntu-latest. Matrix: no, workflow riusabili ricevuti (workflow_call): no, riuso di workflow esterni/interni: no."
PromtEngineer/localGPT,PromtEngineer__localGPT,1,1,1.0,1,1.0,0,[],1,"[""ubuntu-latest""]",False,False,False,False,False,2,"[""actions/cache@v3"", ""actions/checkout@v3""]","PromtEngineer/localGPT ha 1 workflow (1 YAML-like), con 1 job totali e media 1.0 job/workflow. Trigger principali: eventi non identificati. Runner principali: ubuntu-latest. Matrix: no, workflow riusabili ricevuti (workflow_call): no, riuso di workflow esterni/interni: no."
TaxyAI/browser-extension,TaxyAI__browser-extension,1,1,1.0,1,1.0,1,"[""push""]",1,"[""ubuntu-latest""]",False,False,False,False,False,5,"[""actions/checkout@v3"", ""actions/setup-node@v2"", ""cardinalby/webext-buildtools-chrome-crx-action@v2"", ""cardinalby/webext-buildtools-pack-extension-dir-action@v1"", ""softprops/action-gh-release@v1""]","TaxyAI/browser-extension ha 1 workflow (1 YAML-like), con 1 job totali e media 1.0 job/workflow. Trigger principali: push. Runner principali: ubuntu-latest. Matrix: no, workflow riusabili ricevuti (workflow_call): no, riuso di workflow esterni/interni: no."
Technion-Kishony-lab/data-to-paper,Technion-Kishony-lab__data-to-paper,1,1,1.0,1,1.0,1,"[""push""]",1,"[""ubuntu-latest""]",False,False,False,False,False,1,"[""actions/setup-python@v5""]","Technion-Kishony-lab/data-to-paper ha 1 workflow (1 YAML-like), con 1 job totali e media 1.0 job/workflow. Trigger principali: push. Runner principali: ubuntu-latest. Matrix: no, workflow riusabili ricevuti (workflow_call): no, riuso di workflow esterni/interni: no."
codeintegrity-ai/mutahunter,codeintegrity-ai__mutahunter,1,1,1.0,1,1.0,2,"[""pull_request"", ""push""]",1,"[""ubuntu-latest""]",False,False,False,False,False,2,"[""actions/checkout@v4"", ""actions/setup-python@v5""]","codeintegrity-ai/mutahunter ha 1 workflow (1 YAML-like), con 1 job totali e media 1.0 job/workflow. Trigger principali: pull_request, push. Runner principali: ubuntu-latest. Matrix: no, workflow riusabili ricevuti (workflow_call): no, riuso di workflow esterni/interni: no."
farizrahman4u/loopgpt,farizrahman4u__loopgpt,1,1,1.0,1,1.0,4,"[""pull_request"", ""push"", ""schedule"", ""workflow_dispatch""]",1,"[""${{ matrix.os }}""]",True,True,True,False,False,1,"[""actions/setup-python@v4""]","farizrahman4u/loopgpt ha 1 workflow (1 YAML-like), con 1 job totali e media 1.0 job/workflow. Trigger principali: pull_request, push, schedule, workflow_dispatch. Runner principali: ${{ matrix.os }}. Matrix: si, workflow riusabili ricevuti (workflow_call): no, riuso di workflow esterni/interni: no."
getcursor/cursor,getcursor__cursor,1,1,1.0,1,1.0,2,"[""pull_request"", ""push""]",1,"[""${{matrix.os}}""]",True,False,False,False,False,1,"[""actions/upload-artifact@v3""]","getcursor/cursor ha 1 workflow (1 YAML-like), con 1 job totali e media 1.0 job/workflow. Trigger principali: pull_request, push. Runner principali: ${{matrix.os}}. Matrix: si, workflow riusabili ricevuti (workflow_call): no, riuso di workflow esterni/interni: no."
